"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4"
"DENTE DE TUBARÃO 1000j Fio 10 3P LISA","dente-de-tubarao-1000j-fio-10-3p-lisa1","<h2 style=""box-sizing: border-box; font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; line-height: 1.1; color: rgb(81, 81, 81); margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">1 Unidade Linha Dente de Tubar&atilde;o no Carretel de 1000jds Fio 10 3 Passes Lisa</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">APROXIMADAMENTE&nbsp; 1000 JDS</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","PROMOÇÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","FALSE","Draft","","","Title","Default Title","","","","","","","","35.2","","","TRUE","","","","","","shopify","0","DENY","500","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-03-26-13-24-59-c148a01ac621e132b217430280743487-640-0.webp","1","DENTE DE TUBARÃO 1000j Fio 10 3P LISA","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"DENTE DE TUBARÃO 1000j Fio 10 1P ÁSPERA","dente-de-tubarao-1000j-fio-10-1p-aspera1","<h2 style=""box-sizing: border-box; font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; line-height: 1.1; color: rgb(81, 81, 81); margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">1 Unidade Linha Dente de Tubar&atilde;o no Carretel de&nbsp; 1000jds Fio 10 1 Passe &Aacute;spera&hellip;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">APROXIMADAMENTE&nbsp; 1000 JDS</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","PROMOÇÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","FALSE","Draft","","","Title","Default Title","","","","","","","","24.2","","","TRUE","","","","","","","","DENY","500","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-03-26-13-24-31-60cd703c71930e108117430280506346-640-0.webp","1","DENTE DE TUBARÃO 1000j Fio 10 1P ÁSPERA","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"DENTE DE TUBARÃO 1000j Fio 04 3P Lisa","dente-de-tubarao-1000j-fio-04-3p-lisa1","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<div id=""description-pt-br"" class=""all-language"" style=""box-sizing: border-box; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">1 Linha Dente de Tubar&atilde;o Fio 04 no Carretel de 1000jds 3 Passes Lisa&nbsp;</p>
</div>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">APROXIMADAMENTE&nbsp; 1000 JDS</p>
<div id=""description-pt-br"" class=""all-language"" style=""box-sizing: border-box; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>
</div>","Dente de Tubarão","","PROMOÇÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","FALSE","Draft","","","Title","Default Title","","","","","","","","35.2","","","TRUE","","","","","","","","DENY","500","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-03-26-13-24-03-612fcd616b4c7fae2217430276350360-640-0.webp","1","DENTE DE TUBARÃO 1000j Fio 04 3P Lisa","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"SHARK ATTACK 1000j Fio 4.4 4passes áspera","shark-attack-1000j-fio-4-4-4passes-aspera1","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<div id=""description-pt-br"" class=""all-language"" style=""box-sizing: border-box; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">1 Linha Dente de Tubar&atilde;o SHARK ATTACK Fio 4.4 no Carretel de 1000jds 4 Passes &Aacute;spera&nbsp;</p>
</div>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #515151; font-family: Helvetica Neue, Helvetica, Arial, sans-serif;""><span style=""font-size: 14px;""><strong>&nbsp;</strong></span></span></p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;""><span style=""color: #515151; font-family: Helvetica Neue, Helvetica, Arial, sans-serif;""><span style=""font-size: 14px;""><strong>LINHA FEITA COM O FIO 4.4 ALTA RESIST&Ecirc;NCIA SUPER PORDER</strong></span></span></p>
<p>&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">APROXIMADAMENTE&nbsp; 1000 JDS</p>
<div id=""description-pt-br"" class=""all-language"" style=""box-sizing: border-box; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">
<p style=""box-sizing: border-box; margin: 0px 0px 10px;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>
</div>","Dente de Tubarão","","PROMOÇÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","FALSE","Draft","","","Title","Default Title","","","","","","","","33.3","","","TRUE","","","","","","","","DENY","500","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/whatsapp-image-2023-04-21-at-13-22-5621-246818899c4f71d7af16822676190812-640-0.webp","1","SHARK ATTACK 1000j Fio 4.4 4passes áspera","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"DENTE DE TUBARÃO 500j FIO 10 - 1P ÁSPERA","dente-de-tubarao-500j-fio-10-1p-aspera1","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">1 Unidade Linha Dente de Tubar&atilde;o Fio 10 no Carretel&nbsp; 500jds 1 passe &Aacute;spera</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">APROXIMADAMENTE &nbsp;500 JDS</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","PROMOÇÃO","bambu, carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, diamante, diamante pipas, ferias pipa, linha de pipa, papel de seda, pezoca, pipa, rabiola, seda","FALSE","Draft","","","Title","Default Title","","","","","","","","18.2","","","TRUE","","","","","","","","DENY","300","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-03-26-13-24-59-e0e5cae9402398b4e317430285398459-640-0.webp","1","DENTE DE TUBARÃO 500j FIO 10 - 1P ÁSPERA","","FALSE","","","","","Masculino","Adulto","","","","New","FALSE","","","","",""
"DENTE DE TUBARÃO 500j Fio 10 3P ÁSPERA","dente-de-tubarao-500j-fio-10-3p-aspera1","<h2 style=""box-sizing: border-box; font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; line-height: 1.1; color: rgb(81, 81, 81); margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">1 Unidade Linha Dente de Tubar&atilde;o Fio 10 no Carretel de 500jds 3P &Agrave;spera</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">APROXIMADAMENTE&nbsp; 500 JDS</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","PROMOÇÃO","blindada, campeonato, carretel de linha, carretilha, carretilha de linha pipa, carretilha de madeira, catraca, chefao, competicao, dente de tubarao, diamante pipas, diamantepipas, esportiva, ferias pipa, festival, linha, linha de pipa, melhor do brasil, pipa, rabiola","FALSE","Draft","","","Title","Default Title","","","","","","","","24.2","","","TRUE","","","","","","","","DENY","300","g","TRUE","manual","","","","","FALSE","","","","","Masculino","Adulto","","","","New","FALSE","","","","",""
"DENTE DE TUBARÃO 500J FIO 04 3P - LISA","dente-de-tubarao-500j-fio-04-3p-lisa1","<h2 style=""box-sizing: border-box; font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; line-height: 1.1; color: rgb(81, 81, 81); margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">1 Linha Dente de Tubar&atilde;o Fio 04 no Carretel de 500 j 3 Passes Lisa</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">APROXIMADAMENTE&nbsp; 500 JDS</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE</p>","Dente de Tubarão","","PROMOÇÃO","caldo, carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, diamante pipas, ferias pipa, linha de combate, linha de pipa, linha esportiva, linhas especiais, papel de seda, pezoca, pipa, pipa combate, rabiola, terrremoto","FALSE","Draft","","","Title","Default Title","","","","","","","","24.2","","","TRUE","","","","","","","","DENY","300","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/555531-7bc7f227c3af1f41bc16628677946128-640-0.webp","1","DENTE DE TUBARÃO 500J FIO 04 3P - LISA","","FALSE","","","","","Masculino","Adulto","","","","New","FALSE","","","","",""
"DENTE DE TUBARÃO 500j FIO 10 3P LISA","dente-de-tubarao-500j-fio-10-3p-lisa1","<h2 style=""box-sizing: border-box; font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; line-height: 1.1; color: rgb(81, 81, 81); margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">1 Unidade Fio 10 no Carretel de 500jds 3 Passes Lisa</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">&nbsp;</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">APROXIMADAMENTE&nbsp; 500 JDS</p>

<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: rgb(81, 81, 81); font-family: &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif; font-size: 14px; font-weight: 700;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","PROMOÇÃO","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","FALSE","Draft","","","Title","Default Title","","","","","","","","24.2","","","TRUE","","","","","","","","DENY","300","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-03-26-13-23-27-e2919d74a9197f7ef617430285123195-640-0.webp","1","DENTE DE TUBARÃO 500j FIO 10 3P LISA","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"INDONÉSIA DENTE DE TUBARÃO - 500 JDS A FAMOSA .50","indonesia-dente-de-tubarao-500-jds-a-famosa-50","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">1- Unidade de Linha Indon&eacute;sia Dente de Tubar&atilde;o A FAMOSA .50 DO CHEF&Atilde;O&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">no Carretel de 500 jds&nbsp; &nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">n&uacute;mero 40&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","Dente de Tubarão Indonésia","anzol, carretel de linha, carretilha de linha pipa, carretilha de madeira, chefao, combate, dente de tubarao, diamante, diamante pipas, ferias pipa, fibra, funk, indonesia, linha de pipa, naylon, netim do relo, nylon, pezoca, pipa, pipa combate, rabiola, tubarao","TRUE","Active","","","Title","Default Title","","","","","","","","48.7","","","TRUE","","","","","","","","DENY","400","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2025-03-26-13-20-52-68cf0b0714a596c75e17430286444412-640-0.webp","1","INDONÉSIA DENTE DE TUBARÃO - 500 JDS A FAMOSA .50","","FALSE","","","","","Masculino","Adulto","","","","New","FALSE","","","","",""
"INDONÉSIA FAMOSA .50 12000j","indonesia-famosa-50-12000j","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">1- Unidade de Linha Indon&eacute;sia Dente de Tubar&atilde;o A FAMOSA .50 DO CHEF&Atilde;O&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">na Paila de 12000 jds</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">n&uacute;mero 40&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">APROXIMADAMENTE&nbsp; 12000 JDS</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","Dente de Tubarão Indonésia","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","577.7","","","TRUE","","","","","","shopify","7","DENY","3000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/photo-2024-08-15-00-25-43-f9212f96f59b8693c017237056773099-640-0.webp","1","INDONÉSIA FAMOSA .50 12000j","","FALSE","","","","","","","","","","New","FALSE","","","","",""
"INDONÉSIA A FAMOSA .50 3000j","indonesia-a-famosa-50-3000j","<h2 style=""box-sizing: border-box; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 1.1; color: #515151; margin-top: 20px; margin-bottom: 10px; font-size: 30px;"">Descri&ccedil;&atilde;o</h2>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">1- Unidade de Linha Indon&eacute;sia Dente de Tubar&atilde;o A FAMOSA .50 DO CHEF&Atilde;O&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">na roquinha 3000 jds</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">n&uacute;mero 40&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">MATERIAL NYLON</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">&nbsp;</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">APROXIMADAMENTE&nbsp; 3000 JDS</p>
<p style=""box-sizing: border-box; margin: 0px 0px 10px; color: #515151; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; font-size: 14px; font-weight: bold;"">OBS: FOTOS ILUSTRATIVAS, SER&Atilde;O ENVIADAS AS CORES DISPON&Iacute;VEIS EM ESTOQUE.</p>","Dente de Tubarão","","Dente de Tubarão Indonésia","carretel de linha, carretilha de linha pipa, carretilha de madeira, dente de tubarao, ferias pipa, linha de pipa, pipa","TRUE","Active","","","Title","Default Title","","","","","","","","183.7","","","TRUE","","","","","","","","DENY","1000","g","TRUE","manual","https://acdn-us.mitiendanube.com/stores/002/383/186/products/48237cf0-6fb0-48df-be77-9b14ddab1e20-481deea278df3dba6d17509733910822-640-0.webp","1","INDONÉSIA A FAMOSA .50 3000j","","FALSE","","","","","","","","","","New","FALSE","","","","",""
